hashtag,source
#freeomahlay,generic
#stoppolicebrutalityinuganda,opposition
#securingyourfuture,ruling
#freetems,generic
#freebobiwine,opposition
#m7ugschoice,ruling
#nbsupdates,generic
#ugvotes2021,generic
#weareremovingadictator,opposition
#stophooliganism,ruling
#kyagulanyi4president,opposition
#stoppolicebruitalityinuganda,opposition
#freetemsandomahlay,generic
#nbspoliticom,generic
#votem72021,ruling
#endpolicebrutalityinuganda,opposition
#ugandadecides2021,generic
#bobiwinenomination,opposition
#uganda,generic
#ugdecides2021,generic
#ugandaisbleeding,opposition
#m7nomination,ruling
#sevolution,ruling
#journalismisnotacrime,opposition
#kyagulanyicampaigns,opposition
#ntvnews,generic
#silentmajority,ruling
#m7ismypresident,ruling
#kyagulanyiforpresident,opposition
#nbsliveat9,generic
#m7nomination02nov,ruling
#snl,generic
#bobiwine,opposition
#stoppolicebrutarityinuganda,opposition
#freenicholasopiyo,opposition
#anewuganda,opposition
#nbsmorningbreeze,generic
#ugpresnominations,generic
#freebobwine,opposition
#twegwekomufuture,ruling
#covid19,generic
#secureyourfuture,ruling
#visionupdates,generic
#changeiscomingug,opposition
#votekyagulanyi,opposition
#nbssnl,generic
#amponda4guild,generic
#monitorupdates,generic
#nilepostnews,generic
#peoplepower,opposition
#ugandanews,generic
#secureuganda,ruling
#nbskatchup,generic
#ugandanlivesmatter,opposition
#visituganda,ruling
#endsars,generic
#musevenimustgo,opposition
#nbsfrontline,generic
#megaliveservice,generic
#beautifuluganda,ruling
#freecivicspaceug,opposition
#stopstateterrorism,opposition
#nbsamasengejje,generic
#m7mustgo,opposition
#votenup,opposition
#nupmanifestolaunch,opposition
#freeuganda,opposition
#uot,generic
#ntvdanceparty,generic
#chimpreportsnews,generic
#bbsomudigido,generic
#ntvmixshow,generic
#mbarara4kyagulanyi,opposition
#nextmediaent,generic
#stopattacksonngos,opposition
#news,generic
#paintingmbrared,opposition
#museveni,generic
#humanrights,generic
#ugandadecides,generic
#nupmanifesto,opposition
#boycottnbstv,opposition
#bobinotreadytolead,ruling
#clubbeatzathome,generic
#iwillvotemuseveni,ruling
#boycotnbs,opposition
#nrmdelivers,ruling
#nxtbigtalk,generic
#wearamask,generic
#nbskurt,generic
#abetteruganda,generic
#featured,generic
#freeomahlayandtems,generic
#devolution,generic
#kusesemyaministryofhealth,generic
#mission2021,opposition
#ntvtelugu,generic
#owor4busirosouth,opposition
#factchecker,generic
#kusifest2020,generic
#myfuture,ruling
#recordtvupdates,generic
#presidentjosephkabuleta,opposition
#prophetelvismbonye,generic
#nup,opposition
#m7address,generic
#newuganda,opposition
#notreadytolead,ruling
#rockug,generic
#ubcbehindtheheadlines,generic
#melbetug,generic
#staysafe,generic
#sanyukaupdates,generic
#sevo2021,ruling
